TEAM1_WIN,AST%_TEAM1,LAST_TEAM1,FT%_TEAM1,EXP_TEAM1,BARTHAG_TEAM1,WAB_TEAM1,CONSISTENCY TR RATING_TEAM1,SEED_TEAM1,BADJ EM_TEAM1,TR RANK_TEAM1,AST%_TEAM2,LAST_TEAM2,FT%_TEAM2,EXP_TEAM2,BARTHAG_TEAM2,WAB_TEAM2,CONSISTENCY TR RATING_TEAM2,SEED_TEAM2,BADJ EM_TEAM2,TR RANK_TEAM2
1,63.7,2.0,74.2,1.709,0.971,11.3,10.8,1.0,33.493,2.0,48.7,191.0,76.3,2.058,0.356,-6.8,12.7,16.0,-5.725,191.0
0,51.0,36.0,72.0,2.764,0.816,1.2,9.9,8.0,14.274,36.0,59.6,43.0,74.8,2.306,0.872,1.5,10.6,9.0,17.988,43.0
1,50.8,32.0,72.9,2.508,0.879,2.6,10.2,5.0,17.67,32.0,49.6,111.0,74.3,2.218,0.663,-2.7,10.8,12.0,6.447,108.0
1,53.3,84.0,70.7,1.91,0.744,-2.5,7.8,13.0,9.732,85.0,62.0,5.0,75.2,2.195,0.957,5.5,11.4,4.0,28.605,5.0
1,53.8,96.0,71.4,1.999,0.761,-1.8,9.2,11.0,10.179,94.0,63.2,14.0,73.8,2.232,0.907,2.9,10.9,6.0,21.656,14.0
0,52.4,129.0,71.5,2.372,0.589,-3.4,10.3,14.0,3.291,129.0,44.4,11.0,74.5,2.444,0.922,6.0,8.1,3.0,24.236,11.0
1,45.7,42.0,70.1,1.724,0.856,1.9,10.6,7.0,16.17,42.0,55.9,61.0,76.3,1.786,0.828,1.7,12.0,10.0,14.693,61.0
1,58.0,7.0,69.7,1.824,0.958,6.9,10.6,2.0,27.105,7.0,46.4,149.0,71.6,1.819,0.583,-7.4,11.0,15.0,3.102,149.0
1,51.5,9.0,75.4,2.174,0.931,6.6,9.4,1.0,23.59,9.0,54.9,296.0,70.7,1.596,0.24,-11.7,9.8,16.0,-10.014,296.0
0,52.8,28.0,67.2,2.241,0.877,0.8,11.0,8.0,17.693,28.0,60.0,17.0,70.6,2.07,0.898,0.21,9.9,9.0,19.451,17.0
1,45.2,66.0,75.3,2.618,0.773,1.3,8.1,12.0,11.238,66.0,58.3,19.0,67.4,1.929,0.92,1.4,13.7,5.0,22.139,19.0
1,51.5,8.0,78.4,2.094,0.913,3.4,13.5,4.0,23.114,8.0,53.6,104.0,72.2,1.788,0.702,-1.6,9.4,13.0,8.116,104.0
1,53.4,33.0,79.0,2.275,0.865,0.9,10.8,6.0,17.379,33.0,49.3,29.0,71.8,1.908,0.893,1.7,11.0,11.0,19.336,29.0
1,53.9,15.0,74.0,1.617,0.91,5.1,9.6,3.0,22.309,15.0,56.6,124.0,68.0,1.902,0.513,-4.1,10.4,14.0,0.445,125.0
0,58.1,46.0,72.3,2.436,0.863,2.7,10.4,10.0,17.017,46.0,58.3,45.0,73.4,2.205,0.855,2.6,7.8,7.0,16.782,45.0
1,59.1,4.0,71.9,1.963,0.953,4.9,13.3,2.0,27.901,4.0,55.1,170.0,71.0,2.22,0.431,-8.0,10.0,15.0,-2.567,170.0
0,48.0,168.0,68.8,2.323,0.476,-8.6,10.3,16.0,-0.867,168.0,49.1,1.0,69.4,2.28,0.979,10.6,8.9,1.0,33.697,1.0
0,57.1,34.0,75.4,2.43,0.9,2.4,11.3,8.0,20.096,34.0,44.5,40.0,70.9,2.393,0.85,0.25,11.6,9.0,16.089,40.0
0,47.7,21.0,75.9,1.974,0.902,3.3,10.6,5.0,21.028,21.0,54.3,63.0,70.5,2.428,0.778,1.5,9.4,12.0,11.554,63.0
1,53.8,10.0,72.2,1.152,0.927,3.3,9.7,4.0,23.968,10.0,52.1,110.0,72.3,2.309,0.659,-1.2,8.4,13.0,5.839,111.0
0,55.9,27.0,77.8,2.079,0.885,3.4,10.8,6.0,19.079,26.0,46.1,60.0,73.4,2.403,0.798,-0.6,8.1,11.0,12.835,60.0
1,53.3,147.0,75.8,2.571,0.585,-4.2,10.5,14.0,3.176,147.0,54.6,20.0,77.3,0.982,0.893,2.9,10.8,3.0,20.769,20.0
0,50.2,26.0,71.2,1.707,0.895,3.0,10.0,7.0,20.355,27.0,56.1,22.0,77.8,2.2,0.886,1.7,10.0,10.0,19.175,22.0
0,44.5,135.0,71.9,2.412,0.593,-6.6,8.9,15.0,3.401,135.0,54.3,13.0,71.5,1.872,0.933,6.5,10.3,2.0,24.325,13.0
0,40.6,297.0,70.6,2.34,0.281,-8.0,10.5,16.0,-8.337,297.0,64.5,3.0,72.1,1.864,0.964,11.0,8.4,1.0,31.493,3.0
0,59.5,25.0,73.0,2.75,0.869,1.3,7.2,9.0,17.392,25.0,56.4,57.0,71.2,1.918,0.815,3.3,9.2,8.0,13.786,57.0
0,51.8,97.0,69.5,2.328,0.752,0.7,10.2,12.0,10.223,97.0,52.1,16.0,72.6,1.84,0.915,2.5,9.4,5.0,22.623,16.0
